aav2020;nb_docteurs_pondere;population_2023_aav
522;0.333333333;8328.0
523;1.5;7966.0
524;0.0;8596.0
525;2.1666666709999998;8051.0
526;0.333333333;8288.0
527;0.0;7611.0
528;0.0;8144.0
529;0.0;7558.0
530;0.0;7647.0
531;0.0;7823.0
532;0.0;7693.0
533;0.0;7621.0
534;0.0;7137.0
535;0.333333333;7507.0
536;2.0;8014.0
537;1.0;7328.0
538;0.0;7682.0
539;0.366666667;7278.0
540;0.5;7952.0
541;0.0;7234.0
542;0.0;7526.0
543;1.0;7654.0
544;4.033333331;7689.0
545;0.0;7382.0
546;0.0;7115.0
547;0.0;7271.0
548;0.0;6986.0
549;0.0;8121.0
550;0.0;7485.0
551;0.0;7498.0
552;0.0;7038.0
553;0.0;6912.0
554;0.0;7121.0
555;0.0;6793.0
556;0.0;8563.0
557;0.0;7658.0
558;0.0;7812.0
559;1.166666666;6725.0
560;0.0;6746.0
561;0.0;6680.0
562;0.0;6654.0
563;0.0;6632.0
564;0.5;6626.0
565;0.0;6697.0
566;0.0;7055.0
567;2.333333333;7220.0
568;0.0;6373.0
569;0.0;6556.0
570;0.0;6966.0
571;0.0;6556.0
572;0.25;6687.0
573;0.0;6071.0
574;1.0;6136.0
575;0.0;6668.0
576;0.0;6176.0
577;0.0;6577.0
578;0.0;6479.0
579;1.0;6169.0
580;0.0;6850.0
581;0.0;6437.0
582;0.0;6122.0
583;0.5;6173.0
584;0.0;5716.0
585;0.0;6163.0
586;2.133333333;6019.0
587;0.0;5705.0
588;0.0;5930.0
589;0.0;5792.0
590;0.9;5829.0
591;0.0;5878.0
592;0.0;6166.0
593;0.0;6097.0
594;0.0;6038.0
595;0.0;5899.0
596;0.0;5992.0
597;1.0;5744.0
598;0.0;6157.0
599;0.0;5599.0
600;0.999999999;5686.0
601;0.0;5991.0
602;0.0;5377.0
603;0.0;5189.0
604;0.0;5436.0
605;0.0;5967.0
606;0.0;5620.0
607;0.0;5954.0
608;0.0;5852.0
609;1.0;5324.0
610;0.0;5191.0
611;1.0;5418.0
612;0.0;5371.0
613;0.0;5334.0
614;0.0;5120.0
615;0.0;5711.0
616;0.0;5304.0
617;0.0;5000.0
618;0.0;5198.0
619;0.0;4973.0
620;0.0;4809.0
621;1.25;5294.0
622;0.0;4895.0
623;0.0;4868.0
624;0.0;4772.0
625;0.0;4854.0
626;0.0;4517.0
627;0.0;4808.0
628;0.0;5073.0
629;0.0;4622.0
630;0.0;4733.0
631;0.0;4651.0
632;0.25;4883.0
633;1.0;4633.0
634;0.0;4793.0
635;0.0;4694.0
636;0.0;4540.0
637;0.0;4630.0
638;0.0;4560.0
639;0.0;4421.0
640;0.0;4843.0
641;0.0;4475.0
642;0.0;4894.0
643;0.0;4392.0
644;0.0;4324.0
645;0.0;4385.0
646;0.0;4347.0
647;0.0;4427.0
648;0.0;4292.0
649;0.0;4677.0
650;0.0;4332.0
651;0.0;4236.0
652;0.0;4386.0
653;0.0;4185.0
654;0.0;4117.0
655;0.0;4104.0
656;0.0;4149.0
657;0.0;3754.0
658;0.0;3951.0
659;0.0;4113.0
660;0.0;3938.0
661;0.0;3849.0
662;0.0;3868.0
663;0.0;3986.0
664;0.0;4068.0
665;0.0;3853.0
666;0.0;3704.0
667;0.0;3752.0
668;1.0;3349.0
669;0.0;3291.0
670;0.0;3075.0
671;0.0;3425.0
672;0.0;2995.0
673;0.0;3121.0
674;0.0;2999.0
675;0.0;2974.0
676;0.0;2886.0
677;0.0;3089.0
678;0.0;2469.0
679;0.0;1912.0
680;0.0;1639.0
681;0.0;1567.0
682;0.0;1570.0
9A1;15.0;315878.0
9A2;6.0;48163.0
9A3;0.0;6127.0
9B1;22.5;346577.0
9B2;0.5;6566.0
9B3;0.0;6008.0
9C1;5.0;153884.0
9C2;0.0;54429.0
9C3;0.0;27580.0
9D1;12.366666666;326743.0
9D2;15.999999998;227067.0
9D3;8.933333332;33969.0
9D4;13.166666666000001;177472.0
9D5;3.2;54941.0
9D6;1.3333333330000001;52097.0
9D7;0.0;7268.0
9F1;0.0;0.0
AAV2020;0.0;0.0
BAL;3.5;116305.0
CHA;0.0;369.0
GEN;17.40238095;460952.0
LAU;0.0;14051.0
LUX;15.083333331;311136.0
MON;5.999999999;72717.0
SAR;0.0;33561.0
