bv2022;nb_docteurs_pondere;population_2023_bv
35251;0.0;23824.0
35253;0.95;14622.0
35257;0.0;19543.0
35288;8.016666672;74283.0
35297;2.1666666709999998;10726.0
35337;0.0;21106.0
35352;0.333333333;10640.0
35360;4.499999998;47971.0
36001;0.0;4150.0
36006;0.366666667;26798.0
36018;2.0;22495.0
36031;0.0;16594.0
36044;6.833333334;77707.0
36045;0.0;6046.0
36046;1.0;24035.0
36088;1.0;25966.0
36093;0.0;6390.0
36228;1.0;8137.0
37003;1.866666666;26436.0
37011;0.0;8335.0
37014;0.0;10168.0
37027;0.0;19514.0
37031;0.0;10431.0
37062;0.0;4597.0
37063;0.2;15002.0
37072;2.583333333;15200.0
37104;0.0;17755.0
37115;0.0;7732.0
37119;0.0;5374.0
37123;0.916666666;25092.0
37130;0.0;7991.0
37132;3.4166666660000002;20894.0
37159;0.0;13904.0
37196;0.0;7485.0
37226;1.333333332;15049.0
37261;32.899999987;381593.0
38001;0.0;20172.0
38006;0.0;8688.0
38013;0.0;15417.0
38022;0.0;11300.0
38034;0.0;23491.0
38052;1.0;9464.0
38053;8.110805861;86186.0
38085;0.47435897400000004;46440.0
38130;0.487179487;26899.0
38138;0.5;13462.0
38140;1.892857143;14376.0
38185;36.01263736;463600.0
38189;0.0;29797.0
38247;0.0;16062.0
38261;0.23717948700000002;18006.0
38269;0.0;22964.0
38314;0.916666666;21810.0
38315;1.0;25257.0
38337;1.3333333330000001;16664.0
38344;2.2;47851.0
38384;0.0;10000.0
38399;0.333333334;13243.0
38412;0.0;16161.0
38416;0.0;23922.0
38509;1.553846155;38006.0
38511;0.0;20337.0
38517;0.0;12216.0
38544;7.0;82104.0
38545;0.0;19427.0
38548;0.0;11011.0
38553;0.487179487;45334.0
38557;0.0;6915.0
38559;0.0;11782.0
38562;1.076190477;22056.0
38563;3.452380953;63112.0
38565;0.0;12421.0
39013;1.0;5662.0
39056;0.0;10453.0
39097;1.809523811;18907.0
39128;0.0;9965.0
39154;0.0;4842.0
39198;4.05;47757.0
39300;1.6190476219999999;48534.0
39333;0.0;4332.0
39368;0.0;8250.0
39397;0.0;3958.0
39434;0.0;11369.0
39470;1.0;6743.0
39475;0.0;19795.0
39478;0.285714286;21942.0
39487;0.0;6898.0
39500;1.0;14521.0
39526;0.5;12321.0
40001;2.823031134;19939.0
40046;1.499999999;20577.0
40065;7.4396978;15278.0
40075;0.0;5804.0
40088;12.962728935;71113.0
40119;0.0;15270.0
40133;0.0;7183.0
40184;0.0;18731.0
40192;7.562728934;71088.0
40194;0.0;9852.0
40197;0.0;12297.0
40217;0.583333333;20790.0
40224;1.0;21604.0
40233;0.0;4432.0
40245;0.0;7368.0
40282;0.0;9812.0
40284;2.0;24947.0
40296;0.0;9438.0
40310;0.0;20613.0
40313;0.0;10115.0
41018;10.08333333;115486.0
41059;0.0;12021.0
41106;1.0;12768.0
41136;0.666666666;13567.0
41143;0.0;4444.0
41149;0.0;10083.0
41151;2.083333332;16437.0
41167;0.0;6142.0
41173;0.0;7800.0
41194;0.0;36422.0
41198;0.25;11898.0
41232;0.0;8837.0
41242;0.0;15968.0
41269;4.366666666;47880.0
42011;0.0;15118.0
42019;0.0;13918.0
42023;0.0;6488.0
42052;0.0;22018.0
42059;0.0;10132.0
42094;0.0;17356.0
42103;0.0;11377.0
42147;5.416666666;41092.0
