bv2022;libelle;dep;region;lat;lon;population;nb_docteurs_pondere;densite_100k
88516;Vittel;88;Grand Est;48.198389092700495;6.002347795121352;8245.0;0.0;0.0
88530;Xertigny;88;Grand Est;48.01710069739779;6.290584468628362;9173.0;0.0;0.0
89003;Montholon;89;Bourgogne-Franche-Comté;47.872141201423574;3.327942087321552;8715.0;0.0;0.0
89024;Auxerre;89;Bourgogne-Franche-Comté;47.75904749116391;3.611995630367024;81142.0;2.333333333;2.875617230287644
89025;Avallon;89;Bourgogne-Franche-Comté;47.49503209140065;3.937871260889119;25834.0;0.0;0.0
89068;Chablis;89;Bourgogne-Franche-Comté;47.82606628388073;3.7967462819547517;7830.0;0.0;0.0
89086;Charny Orée de Puisaye;45;Centre-Val de Loire;47.88027434214657;3.066977200846107;12405.0;0.0;0.0
89206;Joigny;89;Bourgogne-Franche-Comté;47.97584591132655;3.3341683854289657;15280.0;0.0;0.0
89257;Migennes;89;Bourgogne-Franche-Comté;47.999618687097296;3.545961067006352;20468.0;1.0;4.885675200312683
89309;Pont-sur-Yonne;89;Bourgogne-Franche-Comté;48.30722645120044;3.1922646347476165;14042.0;0.5;3.5607463324312776
89345;Saint-Florentin;89;Bourgogne-Franche-Comté;48.03870295757863;3.823263180994548;21276.0;0.0;0.0
89368;Saint-Sauveur-en-Puisaye;89;Bourgogne-Franche-Comté;47.59182208111938;3.228001808172425;3722.0;0.0;0.0
89387;Sens;89;Bourgogne-Franche-Comté;48.209875930620456;3.3100369390213786;69474.0;5.033333333;7.244916563030774
89418;Tonnerre;89;Bourgogne-Franche-Comté;47.81189708163178;4.08484643858083;15821.0;0.75;4.740534732317806
89419;Toucy;89;Bourgogne-Franche-Comté;47.696679738780915;3.1756749331195526;15032.0;0.0;0.0
89464;Villeneuve-sur-Yonne;89;Bourgogne-Franche-Comté;48.073471050478645;3.3063103121614144;16077.0;0.0;0.0
90010;Belfort;90;Bourgogne-Franche-Comté;47.6432292575481;6.861505138683547;96374.0;15.166666665;15.737301206757007
90033;Delle;90;Bourgogne-Franche-Comté;47.53549506395344;7.02411485407357;18884.0;1.0;5.295488244016099
90052;Giromagny;90;Bourgogne-Franche-Comté;47.75929070360426;6.827163551341619;6513.0;0.0;0.0
91016;Angerville;91;Île-de-France;48.31265423752862;2.0148161541382765;19505.0;0.0;0.0
91021;Arpajon;91;Île-de-France;48.57411798201524;2.241765008335389;48271.0;6.166666666;12.775096157112968
91045;Ballancourt-sur-Essonne;91;Île-de-France;48.53306849396468;2.3866918151453564;28314.0;0.0;0.0
91105;Breuillet;91;Île-de-France;48.55895963425244;2.13559426391212;25796.0;0.0;0.0
91200;Dourdan;91;Île-de-France;48.4952970544257;1.9911643041930103;20847.0;0.0;0.0
91223;Étampes;91;Île-de-France;48.402803402162164;2.1517081872321806;42205.0;3.5;8.292856296647317
91226;Étréchy;91;Île-de-France;48.503235926140384;2.210075996920661;20556.0;0.0;0.0
91232;La Ferté-Alais;91;Île-de-France;48.46412767402079;2.3464638003098455;17941.0;0.5;2.7869126581572936
91338;Limours;91;Île-de-France;48.63342764996412;2.0476077879857306;30513.0;0.0;0.0
91376;Marolles-en-Hurepoix;91;Île-de-France;48.567353003494986;2.3144678639972245;7270.0;0.0;0.0
91405;Milly-la-Forêt;91;Île-de-France;48.389576842776954;2.441997450822759;17295.0;0.0;0.0
95250;Fosses;95;Île-de-France;49.114593437479904;2.546160617970775;38355.0;1.0;2.6072220049537216
95313;L'Isle-Adam;95;Île-de-France;49.12822416578368;2.1903443714904136;27500.0;3.999999999;14.54545454181818
95351;Louvres;95;Île-de-France;49.048638295825846;2.5173545174522207;18529.0;0.0;0.0
95355;Magny-en-Vexin;95;Île-de-France;49.15687342928871;1.770313892634595;16617.0;0.0;0.0
95370;Marines;95;Île-de-France;49.16419501413801;1.9634314009703173;11328.0;0.0;0.0
95487;Persan;95;Île-de-France;49.18066248397566;2.286144435150692;63341.0;1.0;1.5787562558216637
95652;Viarmes;95;Île-de-France;49.11484611844075;2.389649556626918;20630.0;2.333333332;11.310389394086283
97101;Les Abymes;971;Guadeloupe;16.257601698806027;-61.49141204868692;262309.0;13.0;4.955987022938595
97105;Basse-Terre;971;Guadeloupe;16.02427466199512;-61.693000399766845;50499.0;6.0;11.881423394522663
97106;Bouillante;971;Guadeloupe;16.191725645761476;-61.75967366554673;11889.0;0.0;0.0
97107;Capesterre-Belle-Eau;971;Guadeloupe;16.055277507550485;-61.61087289218683;17684.0;1.0;5.654829224157431
97112;Grand-Bourg;971;Guadeloupe;15.931770879261459;-61.26892086555484;10350.0;0.0;0.0
97122;Port-Louis;971;Guadeloupe;16.449656128018088;-61.47633551978662;10019.0;0.0;0.0
97129;Sainte-Rose;971;Guadeloupe;16.296238238434686;-61.72551535572178;21410.0;1.0;4.670714619336758
97209;Fort-de-France;972;Martinique;14.658498987488715;-61.08053806295386;117525.0;13.0;11.061476281642204
97213;Le Lamentin;972;Martinique;14.628129781636812;-60.99218827504111;39400.0;3.0;7.614213197969543
97222;Le Robert;972;Martinique;14.555801230444752;-60.94245328129794;146066.0;6.0;4.1077321210959425
97225;Saint-Pierre;972;Martinique;14.761982998123989;-61.15282657742384;15907.0;0.0;0.0
97228;Sainte-Marie;972;Martinique;14.7936805277821;-61.05767389292352;41732.0;1.0;2.396242691459791
97302;Cayenne;973;Guyane;3.3919753649165485;-53.01020476818122;172375.0;5.0;2.9006526468455403
97304;Kourou;973;Guyane;4.8429602112259;-53.074568192498646;29401.0;0.0;0.0
97311;Saint-Laurent-du-Maroni;973;Guyane;4.5905389844908955;-53.82007444275059;92220.0;0.0;0.0
97404;L'Étang-Salé;974;La Réunion;-21.234351665809807;55.363753641780924;26000.0;0.75;2.8846153846153846
97409;Saint-André;974;La Réunion;-21.018203483413068;55.55412960901979;66153.0;0.333333333;0.5038824134959866
97410;Saint-Benoît;974;La Réunion;-21.120675689661507;55.67561662412973;65109.0;3.333333333;5.1196199189052205
97411;Saint-Denis;974;La Réunion;-20.940098135719065;55.50241562238118;218278.0;10.033333333;4.596584783166421
97412;Saint-Joseph;974;La Réunion;-21.308563405242147;55.6797937092188;57356.0;1.5;2.615245135644048
97413;Saint-Leu;974;La Réunion;-21.167100828882045;55.3324288685779;36163.0;2.083333333;5.760952722395819
97414;Saint-Louis;974;La Réunion;-21.19321865375141;55.438816537063346;59981.0;3.2;5.335022757206449
97415;Saint-Paul;974;La Réunion;-21.033561527435367;55.34375481557218;185846.0;19.266666665;10.367006373556599
97416;Saint-Pierre;974;La Réunion;-21.245582987789316;55.53048149302153;174793.0;14.499999998;8.295526707591264
97608;Dzaoudzi;976;Mayotte;-12.78574123659289;45.28356312758804;0.0;0.0;0.0
97611;Mamoudzou;976;Mayotte;-12.820971387918803;45.14294556078306;0.0;0.0;0.0
BV2022;;BV;Non renseigné;;;0.0;0.0;0.0
